LocationID,taxiName,mapName,Borough,xID,longitude,latitude
161,Midtown Center,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-95.37899,29.74021
162,Midtown East,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-73.97188,40.75714
163,Midtown North,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-73.9851,40.76495
164,Midtown South,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-73.98754,40.75218
165,Midwood,Marine Park,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Marine_Park,-73.95998,40.62044
166,Morningside Heights,Upper West Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side,-73.96206,40.81054
167,Morrisania/Melrose,East Morrisania,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/East_Morrisania,-73.91041,40.82455
168,Mott Haven/Port Morris,Port Morris,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Port_Morris,-73.91661,40.8022
169,Mount Hope,Morris Heights,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Morris_Heights,-97.66505,37.86862
170,Murray Hill,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-73.97566,40.74788
171,Murray Hill-Queens,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace,-73.80733,40.7635
172,New Dorp/Midland Beach,New Dorp,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/New_Dorp,-74.09316,40.57149
173,North Corona,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway,-73.86692,40.75437
174,Norwood,Olinville,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Olinville,-71.19897,42.19439
175,Oakland Gardens,Hollis Hills,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Hollis_Hills,-73.75824,40.74086
176,Oakwood,Midland Beach,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Midland_Beach,-94.55621,38.94374
177,Ocean Hill,Bedford-Stuyvesant,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant,-73.91082,40.67827
178,Ocean Parkway South,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst,-73.96839,40.61288
179,Old Astoria,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway,-123.82954,46.18887
